StartDate,EndDate,ResponseType,IPAddress,Progress,DurationSeconds,Finished,RecordedDate,ResponseID,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,YearOfBirth,"

GenderCategory",Gender,IsEnglishFirstLanguage,Race,RaceOther,AbleToAnswerCountryOfResidence,CountryOfResidence,StateOfResidence,RoleAtBerkeley,IsTransferStudent,YearsAtBerkeley,DidEarnMoneyLastYear,EmploymentStatus,IncomeIn2020,HighestDegreeReceived,PoliticalAffiliation,ReligiousAffliation,ReligiousAffliationOther,ReligiousAffliationOther2,BookFormatPurchasedMostOften,FrequencySocialMediaAccess,FrequencySocialMediaPosting,TimeFC_FrequencySocialMediaPosting,TimeLC_FrequencySocialMediaPosting,TimePS_FrequencySocialMediaPosting,TimeCC_FrequencySocialMediaPosting,ClassLevel,GenderCGSurvey,RaceCGSurvey,HasServedInCG,HasServedInAnyOtherUniformedService,PlaceboPreTestColleagueAffinity,TimeFC_Intro,TimeLC_Intro,TimePS_Intro,TimeCC_Intro,TimeFC_Intro2,TimeLC_Intro2,TimePS_Intro2,TimeCC_Intro2,PracticeQCGComparison,TimeFC_PracticeQCGComparison,TimeLC_PracticeQCGComparison,TimePS_PracticeQCGComparison,TimeCC_PracticeQCGComparison,TreatmentQ1,TimeFC_TreatmentQ1,TimeLC_TreatmentQ1,TimePS_TreatmentQ1,TimeCC_TreatmentQ1,TreatmentQ2,TimeFC_TreatmentQ2,TimeLC_TreatmentQ2,TimePS_TreatmentQ2,TimeCC_TreatmentQ2,TreatmentQ3,TimeFC_TreatmentQ3,TimeLC_TreatmentQ3,TimePS_TreatmentQ3,TimeCC_TreatmentQ3,TreatmentQ4,TimeFC_TreatmentQ4,TimeLC_TreatmentQ4,TimePS_TreatmentQ4,TimeCC_TreatmentQ4,TreatmentQ5,TimeFC_TreatmentQ5,TimeLC_TreatmentQ5,TimePS_TreatmentQ5,TimeCC_TreatmentQ5,TreatmentQ6,TimeFC_TreatmentQ6,TimeLC_TreatmentQ6,TimePS_TreatmentQ6,TimeCC_TreatmentQ6,ControlQ1,TimeFC_ControlQ1,TimeLC_ControlQ1,TimePS_ControlQ1,TimeCC_ControlQ1,ControlQ2,TimeFC_ControlQ2,TimeLC_ControlQ2,TimePS_ControlQ2,TimeCC_ControlQ2,ControlQ3,TimeFC_ControlQ3,TimeLC_ControlQ3,TimePS_ControlQ3,TimeCC_ControlQ3,ControlQ4,TimeFC_ControlQ4,TimeLC_ControlQ4,TimePS_ControlQ4,TimeCC_ControlQ4,ControlQ5,TimeFC_ControlQ5,TimeLC_ControlQ5,TimePS_ControlQ5,TimeCC_ControlQ5,ControlQ6,TimeFC_ControlQ6,TimeLC_ControlQ6,TimePS_ControlQ6,TimeCC_ControlQ6,PlaceboPostTestColleagueAffinity,TimeFC_PlaceboPostTestColleagueAffinity,TimeLC_PlaceboPostTestColleagueAffinity,TimePS_PlaceboPostTestColleagueAffinity,TimeCC_PlaceboPostTestColleagueAffinity
3/29/2021 10:59,3/29/2021 11:05,Survey Preview,,100,361,TRUE,3/29/2021 11:05,R_3kpkeubEVJMXVeY,37.89219666,-122.2729034,preview,EN,,,,,Native American,,,,,,,,,,,,,Roman Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 11:40,3/30/2021 12:30,Survey Preview,,100,2956,TRUE,3/30/2021 12:30,R_2rORoun447CrzQB,37.89219666,-122.2729034,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,20.318,27.299,29.076,2,Fresh/Soph,Prefer not to answer,White,No,No,Like a great deal,24.082,51.22,52.363,6,47.122,58.574,68.85,3,0,39.974,61.745,62.569,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38.169,40.097,46.181,4,0,10.362,11.26,12.85,2,0,4.348,5.581,7.236,3,0,5.515,7.273,8.893,3,0,37.24,41.553,44.113,4,0,19.124,20.431,22.586,3,Like a great deal,,,,
3/30/2021 13:11,3/30/2021 13:21,Survey Preview,,100,621,TRUE,3/30/2021 13:21,R_2QSquguoMN5Dj7A,37.4967041,-122.2664948,preview,EN,1986,Cisgender Man,,Yes,Asian,,Yes,United States of America,California,,,,Yes,Employed full time,"$60,000 - $69,999","Advanced degree (Master's, Doctorate)",Other,Atheist or agnostic,,,I don't purchase books,Weekly,Weekly,1.65,2.569,4.129,2,Jr/Sr,Non-binary / third gender,Black or African American,Prefer not to answer,Yes,Like somewhat,1.657,8.757,11.707,7,1.561,1.911,2.533,2,0,2.96,4.103,7.411,3,0,0,0,1.495,0,0,2.554,3.165,4.306,2,0,0,0,1.607,0,0,2.247,2.953,5.046,2,0,0,0,0.851,0,0,0,0,1.355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like somewhat,,,,
3/30/2021 14:58,3/30/2021 15:01,IP Address,136.50.29.235,100,193,TRUE,3/30/2021 15:01,R_u1yNIpPNbXY8GXv,29.45509338,-98.64980316,anonymous,EN,1985,Cisgender Man,,Yes,Non-Hispanic White,,Yes,United States of America,Massachusetts,,,,No,Student,,Some college,Other,Atheist or agnostic,,,I buy ebooks,More than once a day,Daily,,,,,Prefer not to answer,Male,"White,Asian",Yes,Prefer not to answer,Like somewhat,1.2,9.544,10.684,7,0,0,1.405,0,0,0,0,1.105,0,0,0,0,0.605,0,0,0,0,0.699,0,0,0,0,0.714,0,0,0,0,0.768,0,0,0,0,0.966,0,0,0,0,0.799,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither like nor dislike,,,,
3/30/2021 15:40,3/30/2021 16:31,Survey Preview,,100,3098,TRUE,3/30/2021 16:31,R_2Yn2e6TZ2jGGDgh,25.7348938,-80.22280121,preview,EN,1991,Cisgender Man,,Yes,Non-Hispanic White,,Yes,United States of America,Florida,,,,Yes,Employed full time,"$70,000 - $79,999",Bachelor's degree,Democrat,Jewish,,,I buy both,More than once a day,Less than Weekly,4.69,10.335,15.422,2,Grad/Post-Grad,Male,White,No,No,Like somewhat,1.514,17.319,22.49,7,0,0,26.883,0,0,0,0,29.675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23.005,26.58,28.616,2,0,13.129,13.129,29.82,1,0,18.009,21.203,23.268,2,0,78.911,83.224,85.278,5,0,17.811,17.811,44.156,1,0,24.197,29.429,31.44,3,Like somewhat,,,,
3/30/2021 18:03,3/30/2021 19:22,Survey Preview,,100,4711,TRUE,3/30/2021 19:22,R_V3IqeSnvscmn2Mx,47.5579071,-122.1632996,preview,EN,India,Cisgender Man,,No,Asian,,Yes,United States of America,Washington,,,,Yes,Employed full time,"More than $150,000","Advanced degree (Master's, Doctorate)",Other,Hindu,,,I buy physical books,Weekly,Less than Weekly,12.111,20.623,22.33,2,Grad/Post-Grad,Male,Asian,No,No,Like a great deal,2.352,49.812,51.767,11,0,0,54.712,0,0,52.95,52.95,54.334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.936,1.936,3.178,1,0,2.32,2.32,3.909,1,0,15.285,16.16,16.961,2,0,2.219,2.219,3.812,1,0,37.23,37.23,38.977,1,0,77.822,86.594,90.565,2,Like a great deal,0,0,20.466,0
3/30/2021 19:26,3/30/2021 20:13,Survey Preview,,100,2820,TRUE,3/30/2021 20:13,R_scHLCigTnnJHMVb,37.98609924,-122.5688019,preview,EN,1997,Cisgender Man,,Yes,Non-Hispanic White,,Yes,United States of America,California,Graduate Student,,5th Year or beyond,Yes,Student,"Less than $10,000",Bachelor's degree,Democrat,Other:,,Don't really think about religion,I buy ebooks,Daily,Less than Weekly,5.711,5.711,9.664,1,Grad/Post-Grad,Male,White,No,No,Like a great deal,1.689,15.641,20.394,12,9.085,9.085,20.303,1,0,40.452,46.284,55.831,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46.662,49,51.32,2,0,24.196,24.196,28.078,1,0,4.12,74.904,77.24,11,0,16.937,16.937,19.206,1,0,22.775,23.466,25.806,2,0,12.936,14.047,16.375,2,Like a great deal,,,,
3/31/2021 0:27,3/31/2021 0:42,Survey Preview,,100,900,TRUE,3/31/2021 0:42,R_31vJynnHBul11qv,25.04780579,121.5317993,preview,EN,Taiwan,Cisgender Man,,No,Asian,,Yes,United States of America,California,Graduate Student,,,No,Student,,"Advanced degree (Master's, Doctorate)",Democrat,Atheist or agnostic,,,I buy physical books,Daily,Less than Weekly,0.854,0.854,2.066,1,Grad/Post-Grad,Male,Asian,No,No,Like somewhat,1.573,24.147,24.975,13,0,0,2.266,0,0,2.43,3.262,4.159,2,0,0,0,1.502,0,0,0,0,2.631,0,0,0,0,2.358,0,0,0,0,2.329,0,0,0,0,1.616,0,0,0,0,1.877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like somewhat,,,,
3/31/2021 20:37,3/31/2021 21:34,IP Address,96.250.83.61,100,3383,TRUE,3/31/2021 21:34,R_2WSDtOHMY0iEfyB,40.70329285,-74.00389862,anonymous,EN,1995,Cisgender Man,,Yes,Non-Hispanic White,,Yes,United States of America,New York,Other,,,Yes,Employed full time,"$50,000 - $59,999",Bachelor's degree,Republican,Jewish,,,I buy physical books,Daily,Less than Weekly,10.79,10.79,12.385,1,Grad/Post-Grad,Male,White,No,No,Like somewhat,2.637,19.725,20.805,11,0,0,35.465,0,0,56.487,83.15,88.232,4,0,68.865,68.865,70.682,1,0,8.222,8.222,10.286,1,0,9.403,9.403,11.898,1,0,7.11,7.11,9.879,1,0,15.984,15.984,17.923,1,0,16.061,17.055,18.541,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like somewhat,,,,
3/31/2021 20:34,3/31/2021 21:38,IP Address,50.113.7.223,100,3805,TRUE,3/31/2021 21:38,R_2cwK8CipTzDoJhf,21.29299927,-157.8267975,anonymous,EN,1993,Cisgender Woman,,Yes,Non-Hispanic White,,Yes,United States of America,Hawaii,Other,,,Yes,Student,"$20,000 - $29,999","Advanced degree (Master's, Doctorate)",Other,Atheist or agnostic,,,I buy both,More than once a day,Less than Weekly,5.202,5.202,6.52,1,Grad/Post-Grad,Female,White,No,No,Like a great deal,1.514,13.947,15.7,14,0,0,22.045,0,0,0,0,18.953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42.106,42.106,44.334,1,0,11.029,11.029,12.2,1,0,20.023,20.023,22.583,1,0,30.165,38.565,39.873,12,0,13.958,14.323,16.536,2,0,15.216,15.216,22.187,1,Like a great deal,,,,
